symbol,day,trade_number,wallet,achat,loss,profit,vente,pourcentage,benef
BTC/USDT,04/12/2020,12704,10286.43383353172,6830.0,6823.820704317329,6839.268943524007,6830.99,0.0001449487554904512,10287.924839314326
BTC/USDT,04/12/2020,12705,10287.924839314326,6836.7,6827.198615122315,6850.952077316529,6837.96,0.00018429944271362183,10289.820898128892
BTC/USDT,04/12/2020,12706,10289.820898128892,6835.44,6825.779466620062,6849.930800069907,6835.44,0.0,10289.820898128892
BTC/USDT,04/12/2020,12707,10289.820898128892,6834.13,6825.543817732084,6847.009273401874,6834.91,0.00011413303522171006,10290.995306619883
BTC/USDT,04/12/2020,12708,10290.995306619883,6897.14,6886.647728463847,6912.878407304231,6901.64,0.0006524443464972437,10297.709608327517
BTC/USDT,04/12/2020,12709,10297.709608327517,6976.28,6961.78020918861,6998.029686217085,6992.16,0.002276284782147521,10321.150127999928
BTC/USDT,04/12/2020,12710,10321.150127999928,7079.97,7053.344062695801,7119.908905956299,7096.77,0.00237289141055685,10345.641096485728
BTC/USDT,04/12/2020,12711,10345.641096485728,7083.0,7068.643589003418,7104.534616494873,7085.02,0.0002851898912890635,10348.59156874535
BTC/USDT,04/12/2020,12712,10348.59156874535,7124.7,7110.814979407831,7145.527530888254,7127.84,0.0004407203110306859,10353.152403240258
BTC/USDT,04/12/2020,12713,10353.152403240258,7110.12,7093.130627001809,7135.604059497286,7110.79,9.423188356878263e-05,10354.12800029209
BTC/USDT,04/13/2020,12714,10354.12800029209,6719.84,6707.878450719049,6737.782323921426,6722.2,0.0003511988380675243,10357.764358014996
BTC/USDT,04/13/2020,12715,10357.764358014996,6715.51,6705.012183689409,6731.256724465887,6717.47,0.00029186167543493143,10360.787392474287
BTC/USDT,04/13/2020,12716,10360.787392474287,6713.0,6703.278949977063,6727.5815750344045,6719.25,0.0009310293460449874,10370.433589584814
BTC/USDT,04/13/2020,12717,10370.433589584814,6702.69,6650.733730780663,6780.624403829005,6714.28,0.0017291565028369426,10388.365692263484
BTC/USDT,04/13/2020,12718,10388.365692263484,6704.83,6684.324465116817,6735.588302324774,6714.89,0.001500410897815515,10403.952509358649
BTC/USDT,04/13/2020,12719,10403.952509358649,6750.79,6729.3663462465365,6782.925480630196,6755.0,0.0006236307158125252,10410.44073370934
BTC/USDT,04/13/2020,12720,10410.44073370934,6761.4,6744.926169554029,6786.110745668956,6762.19,0.00011683970775282688,10411.657086562245
BTC/USDT,04/13/2020,12721,10411.657086562245,6764.71,6753.07999681478,6782.155004777829,6765.76,0.000155217296824281,10413.273155830682
BTC/USDT,04/13/2020,12722,10413.273155830682,6763.12,6748.4741860969225,6785.088720854616,6764.65,0.00022622694850893453,10415.628918840715
BTC/USDT,04/13/2020,12723,10415.628918840715,6762.08,6747.350845304671,6784.173732042994,6763.6,0.0002247829070345865,10417.970174187685
BTC/USDT,04/13/2020,12724,10417.970174187685,6763.03,6748.356519050246,6785.0402214246305,6763.04,1.47862718341014e-06,10417.98557848158
BTC/USDT,04/13/2020,12725,10417.98557848158,6850.77,6816.261641529026,6902.532537706463,6891.1,0.005886929498435931,10479.315525097823
BTC/USDT,04/13/2020,12726,10479.315525097823,6834.64,6810.628500092448,6870.657249861329,6835.62,0.00014338721571283394,10480.818124973543
BTC/USDT,04/13/2020,12727,10480.818124973543,6834.4,6812.944632713884,6866.583050929173,6846.51,0.001771918529790557,10499.389280816547
BTC/USDT,04/13/2020,12728,10499.389280816547,6837.25,6819.936993198869,6863.219510201698,6841.4,0.0006069691762038299,10505.762086478968
BTC/USDT,04/13/2020,12729,10505.762086478968,6841.8,6827.8619058966515,6862.707141155024,6843.36,0.00022801017276147953,10508.157507107297
